AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
150A102AS0010,4.0,10,结构,2,11,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AS0030,6.0,314,结构,3,12,"3,0,0","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AS0040,5.0,"11,15",结构,2,13,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AS0050,8.0,314,机械,2,14,"0,2,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AS0060,6.0,16,结构,3,15,"3,0,0","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AS0070,2.0,7,特设,3,16,"0,0,3","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AS0080,3.0,"18,31",结构,2,17,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AW0010,3.0,"35,36,37",特设,3,18,"0,0,3","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EA0020,4.0,23,特设,2,19,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EA0025,4.0,23,特设,2,20,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EA0030,4.0,"19,20",特设,4,21,"0,0,4","0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EE0460,1.0,"26,27",特设,2,22,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EH0060,8.0,24,机械,3,23,"0,3,0","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EH0070,8.0,25,机械,3,24,"0,3,0","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EH0160,8.0,314,机械,3,25,"0,3,0","0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EW0010,12.0,21,特设,2,26,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A102EW0015,12.0,21,特设,2,27,"0,0,2","0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
150A102MA0010,5.0,314,特设,2,28,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0"
150A102MA0020,5.0,28,特设,1,29,"0,0,1","0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
150A102SA0020,3.0,33,特设,2,30,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A102SA0050,1.0,"35,36,37",特设,2,31,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A102SE0010,2.0,314,特设,2,32,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A102SE0020,3.0,32,特设,2,33,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A102SE0030,4.0,30,特设,2,34,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A102SW0010,4.0,34,特设,2,35,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A102SW0020,4.0,34,特设,2,36,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A102SW0030,4.0,34,特设,2,37,"0,0,2","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0"
150A103BA0010,4.0,49,特设,2,38,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BB0010,8.0,49,结构,8,39,"8,0,0","0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BB0020,8.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",结构,3,40,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BB0030,8.0,314,结构,4,41,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BB0060,8.0,41,结构,4,42,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BB0070,8.0,41,结构,4,43,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BB0150,8.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,2,44,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BD0040,8.0,,机械,4,45,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BD0050,8.0,49,机械,4,46,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BD0070,5.0,"73,74",机械,3,47,"0,3,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BD0080,8.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",机械,2,48,"0,2,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BD0100,8.0,"40,51,52,53,56,66,67,68,97,98,99,107,108,109,110,48",机械,4,49,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE1010,4.0,41,特设,2,50,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE1020,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,51,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE1030,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,52,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2010,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,53,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2020,4.0,41,特设,2,54,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2025,8.0,41,特设,2,55,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2030,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,56,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2040,1.0,41,特设,2,57,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2070,2.0,49,特设,2,58,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2080,2.0,49,特设,2,59,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2090,2.0,49,特设,2,60,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2100,1.0,41,特设,2,61,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2110,1.0,41,特设,2,62,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2120,2.0,41,特设,2,63,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2130.01,4.0,41,特设,2,64,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE2140,3.0,41,特设,2,65,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE3010,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,66,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE3020,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,67,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BE3030,2.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,68,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BK0010,3.0,,机械,4,69,"0,4,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0010,2.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,2,70,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0015,2.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,2,71,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0020,2.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,3,72,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0030,6.0,"44,70,71,72,75,78,81,84,85,86",结构,4,73,"4,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0040,3.0,"44,70,71,72,75,78,81,84,85,86",结构,2,74,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0050,4.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,3,75,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0060,5.0,"73,74",结构,3,76,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0070,5.0,"73,74",结构,3,77,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0080,4.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,3,78,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0090,4.0,"73,74",结构,3,79,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0100,4.0,"73,74",结构,3,80,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0110,4.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,3,81,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0120,4.0,"73,74",结构,3,82,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0130,4.0,"73,74",结构,3,83,"3,0,0","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0140,4.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,2,84,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0150,2.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,2,85,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BL0160,2.0,"39,91,92,93,94,95,96,100,101,102,103,104,105,106,38,88,89,90,58,59,60,46",结构,2,86,"2,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW0010,1.0,"73,74",特设,2,87,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW0020,2.0,49,特设,2,88,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW0030,2.0,49,特设,2,89,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW0040,2.0,49,特设,2,90,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1010,4.0,49,特设,3,91,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1020,4.0,49,特设,3,92,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1030,4.0,49,特设,3,93,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1040,4.0,49,特设,3,94,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1050,4.0,49,特设,3,95,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1060,2.0,49,特设,3,96,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1070,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,97,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1080,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,98,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW1090,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,99,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2010,4.0,49,特设,3,100,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2015,4.0,49,特设,3,101,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2020,4.0,49,特设,3,102,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2030,4.0,49,特设,3,103,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2040,4.0,49,特设,3,104,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2050,4.0,49,特设,2,105,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2060,2.0,49,特设,3,106,"0,0,3","0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2070,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,107,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2080,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,108,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW2090,4.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,109,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW3010,8.0,"42,43,50,54,55,57,61,62,63,64,45,69,65,111",特设,2,110,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A103BW3020.01,4.0,,特设,2,111,"0,0,2","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0020,5.0,146,结构,4,112,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0030,4.0,"121,120",结构,4,113,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0040,3.0,"117,116,113",结构,4,114,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0050,3.0,"117,116,113",结构,4,115,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0060,4.0,"121,120",结构,2,116,"2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0070,4.0,"121,120",结构,2,117,"2,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0080,3.0,"133,144",结构,3,118,"3,0,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0090,5.0,"136,118",结构,4,119,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0100,4.0,"122,119",结构,4,120,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0120,4.0,"122,119",结构,4,121,"4,0,0","0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0130,5.0,"136,118",结构,3,122,"3,0,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A104CB0150,5.0,146,结构,3,123,"3,0,0","0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
